sigfoxId,state,loraId,nbId,gsmId,createdAt,fmwId,country,type,number,createdAtISO,neighbour,address,modelId,bcCode,status,latitude,name,updatedAtISO,bluetoothId,category,satelliteId,esimId,updatedAt,city,complement,longitude,stId,wifiId,hwid,description,code,zipCode
41C500,Rio de Janeiro,,,,1553349796,7ORr95ka8,Brasil,physical,50,2019-03-23T14:03:16.572Z,São Cristóvão,Rua Euclídes da Cunha,AdVCldsi8,PLUVION_41C500,active,-22.9035935,CivilMaster_RJ,2019-03-23T14:03:16.572Z,,proprietary,,,1553349796,Rio de Janeiro,,-43.2191739,3tz92E_r-,,41C500,,PLUVION_41C500,20940-060
,São Paulo,,,,1553254986,7ORr95ka8,Brasil,physical,23,2019-03-22T11:43:06.687Z,Nova Sousas (Sousas),Rua Pedro Maróstica,AdVCldsi8,PLUVION_c48362c0c2ab,active,-22.87182042,CAMP_SOUSAS,2019-03-22T11:43:06.687Z,c48362c0c2ab,proprietary,,,1553254986,Campinas,,-46.954873,RBVB6aRKO,,c48362c0c2ab,Estacao GSM,PLUVION_c48362c0c2ab,13107-234
41C593,São Paulo,,,,1552697021,7ORr95ka8,Brasil,physical,1090,2019-03-16T00:43:41.336Z,Chácara Santo Antônio (Zona Sul),Rua Fernandes Moreira,AdVCldsi8,PLUVION_41C593,active,-23.6305175,CivilMaster_SP,2019-03-16T00:43:41.336Z,,proprietary,,,1552697021,São Paulo,,-46.7047332,TneAJoxDU,,41C593,,PLUVION_41C593,04716-003
41C096,São Paulo,,,,1552582505,7ORr95ka8,Brasil,physical,200,2019-03-14T16:55:05.949Z,Limão,Rua Miguel Casagrande,AdVCldsi8,PLUVION_41C096,active,-23.506861,ICATEL_PAINEL_i,2019-03-20T16:17:54.624Z,,proprietary,,,1553098674,São Paulo,,-46.69025,tfSI6GDzN,,41C096,,PLUVION_41C096,02910-025
41C483,São Paulo,,,,1552348968,7ORr95ka8,Brasil,physical,402,2019-03-12T00:02:48.695Z,Vila Aeroporto,Rua Cacilda Becker,AdVCldsi8,PLUVION_41C483,active,-22.9794116,CAMP_DOMASA_V,2019-03-12T00:02:48.695Z,,proprietary,,,1552348968,Campinas,,-47.1326113,CCZHzJ9DR,,41C483,,PLUVION_41C483,13054-647
41C590,São Paulo,,,,1551968122,7ORr95ka8,Brasil,physical,404,2019-03-07T14:15:22.514Z,Consolação,Rua Matias Aíres,AdVCldsi8,PLUVION_41C590,active,-23.553684,Pluvi.On Expositor 1,2019-03-07T14:15:39.271Z,,proprietary,,,1551968139,São Paulo,,-46.659372,KfyjAlWfN,,41C590,Estação Transparente,PLUVION_41C590,01309-020
41C096,São Paulo,,,,1551567098,7ORr95ka8,Brasil,physical,200,2019-03-02T22:51:38.901Z,Nossa Senhora do O,Av. Miguel Casagrande,AdVCldsi8,PLUVION_41C096 ,active,-23.507351,ICATEL_TESTE_PAINEL,2019-03-02T22:51:38.901Z,,proprietary,,,1551567098,São Paulo,,-46.690435,wurp_ix8O,,41C096 ,,PLUVIN_41C096 ,02675-031
,São Paulo,,,,1551107655,7ORr95ka8,Brasil,physical,,2019-02-25T15:14:15.562Z,,,AdVCldsi8,PLUVION_f353901e102c,active,-23,IoT Bridge_i,2019-03-20T16:19:07.693Z,f353901e102c,proprietary,,,1553098747,São José dos Campos,,-46,JAmKVx9v2,,f353901e102c,,PLUVION_f353901e102c,
,Rio Grande do Sul,,,,1550844434,7ORr95ka8,Brasil,physical,,2019-02-22T14:07:14.350Z,,Unnamed Road,AdVCldsi8,PLUVION_ad5790cc845b,active,-28.476159,Agral,2019-02-22T14:07:14.350Z,ad5790cc845b,proprietary,,,1550844434,Não-Me-Toque,,-52.801339,4nqv3FyV9,,ad5790cc845b,Agral Station,PLUVION_ad5790cc845b,99470-000
41C508,Bahia,,,,1550498984,4ljg9MD0k,Brasil,physical,199,2019-02-18T14:09:44.650Z,Centro,Praça da Sé,T0_gCOcnx,PLUVION_41C508,active,-12.974216,I4SEA_FAROLDABARRA_i,2019-03-20T16:18:27.970Z,,proprietary,,,1553098707,Salvador,,-38.513071,ToAsmC2_-,,41C508,Nova estação Preamar,PLUVION_41C508,40020-000
